ano,cod_produto,produto,uf,estado,municipio,qtd_produzida_ton,area_colhida_ha,valor_producao_reais
2016,41155,Limão,SP,São Paulo,Bebedouro,16124,2821,31093913
2017,41155,Limão,SP,São Paulo,Bebedouro,17927,2956,18942673
2018,41155,Limão,SP,São Paulo,Bebedouro,19329,2674,26997729
2019,41155,Limão,SP,São Paulo,Bebedouro,18506,2759,22549568
2020,41155,Limão,SP,São Paulo,Bebedouro,18810,2737,28767926
2021,41155,Limão,SP,São Paulo,Bebedouro,19669,2659,13073968
2022,41155,Limão,SP,São Paulo,Bebedouro,18326,2985,20847105
2023,41155,Limão,SP,São Paulo,Bebedouro,20127,3020,18242661
2015,41176,Tangerina,SP,São Paulo,Bebedouro,1335,562,1793685
2016,41176,Tangerina,SP,São Paulo,Bebedouro,1709,558,3195140
2017,41176,Tangerina,SP,São Paulo,Bebedouro,1683,541,2842157
2018,41176,Tangerina,SP,São Paulo,Bebedouro,1435,611,1022880
2019,41176,Tangerina,SP,São Paulo,bebedouro,1433,563,984717
2020,41176,Tangerina,SP,São Paulo,Bebedouro,1704,575,2160282
2021,41176,Tangerina,SP,São Paulo,Bebedouro,1535,593,2639916
2022,41176,Tangerina,SP,São Paulo,Bebedouro,1599,600,2580552
2023,41176,Tangerina,SP,São Paulo,Bebedouro,1561,585,1120058
2015,41160,Pomelo,SP,São Paulo,Bebedouro,991,233,980653
2016,41160,Pomelo,SP,São Paulo,BEBEDOURO,894,236,817036
2017,41160,Pomelo,SP,São Paulo,Bebedouro,960,231,1411075
2018,41160,Pomelo,SP,São Paulo,Bebedouro,963,211,1394664
2019,41160,Pomelo,SP,São Paulo,Bebedouro,1073,235,1508761
2020,41160,Pomelo,SP,São Paulo,Bebedouro,1158,205,1825089
2021,41160,Pomelo,SP,São Paulo,Bebedouro,890,218,
2022,41160,Pomelo,SP,São Paulo,Bebedouro,1023,211,1890713
2023,41160,Pomelo,SP,São Paulo,Bebedouro,1085,235,1827680
2015,41151,Laranja,SP,São Paulo,Limeira,58597,5013,
2016,41151,Laranja,SP,São Paulo,LIMEIRA,47250,5598,31764808
2017,41151,Laranja,SP,São Paulo,Limeira,59723,4846,58293215
2018,41151,Laranja,SP,São Paulo,Limeira,57094,4853,32959059
2019,41151,Laranja,SP,São Paulo,Limeira,50866,5543,33807224
2020,41151,Laranja,SP,São Paulo,Limeira,45681,5321,46126466
2021,41151,Laranja,SP,São Paulo,LIMEIRA,52546,5054,25244195
2022,41151,Laranja,SP,São Paulo,Limeira,52707,5045,62164530
2023,41151,Laranja,SP,São Paulo,Limeira,58446,5362,45325899
2015,41155,Limão,SP,São Paulo,Limeira,7228,2173,11283135
2016,41155,Limão,SP,São Paulo,Limeira,7384,2105,10592920
2017,41155,Limão,SP,São Paulo,Limeira,7456,2110,10409181
2018,41155,Limão,SP,São Paulo,Limeira,6693,1961,6263384
2019,41155,Limão,SP,São Paulo,Limeira,6146,2050,6120221
2020,41155,Limão,SP,São Paulo,Limeira,7459,2271,6541146
2021,41155,Limão,SP,São Paulo,Limeira,6210,2266,8899312
2022,41155,Limão,SP,São Paulo,Limeira,7018,2043,9516226
2023,41155,Limão,SP,São Paulo,Limeira,6130,2024,
2015,41176,Tangerina,SP,São Paulo,Limeira,5751,131,7628985
2016,41176,Tangerina,SP,São Paulo,Limeira,6106,140,7154322
2017,41176,Tangerina,SP,São Paulo,Limeira,,138,9285694
2018,41176,Tangerina,SP,São Paulo,Limeira,5858,126,10644656
2019,41176,Tangerina,SP,São Paulo,limeira,5198,128,5062221
2020,41176,Tangerina,SP,São Paulo,Limeira,5522,,8800389
2021,41176,Tangerina,SP,São Paulo,Limeira,4632,153,6979467
2022,41176,Tangerina,SP,São Paulo,Limeira,5268,140,6529691
2023,41176,Tangerina,SP,São Paulo,LIMEIRA,4557,148,8185180
2015,41160,Pomelo,SP,São Paulo,Limeira,1786,205,2721715
2016,41160,Pomelo,SP,São Paulo,Limeira,1545,219,2807948
2017,41160,Pomelo,SP,São Paulo,Limeira,1514,200,2844506
2018,41160,Pomelo,SP,São Paulo,Limeira,1853,186,3616120
2019,41160,Pomelo,SP,São Paulo,Limeira,1356,187,2466979
2020,41160,Pomelo,SP,São Paulo,Limeira,1556,185,1649347
2021,41160,Pomelo,SP,São Paulo,Limeira,1603,203,2347502
2022,41160,Pomelo,SP,São Paulo,LIMEIRA,1860,212,2948931
2023,41160,Pomelo,SP,São Paulo,Limeira,1517,184,1671504
2015,41151,Laranja,SP,São Paulo,Matão,66164,3560,62624733
2016,41151,Laranja,SP,São Paulo,Matão,67355,3936,52011706
2017,41151,Laranja,SP,São Paulo,Matão,59718,3982,56866513
2018,41151,Laranja,SP,São Paulo,matão,61425,,39109169
2019,41151,Laranja,SP,São Paulo,Matão,71473,3848,84258251
2020,41151,Laranja,SP,São Paulo,Matão,58284,3866,33525168
2021,41151,Laranja,SP,São Paulo,Matão,-,,50821301
2022,41151,Laranja,SP,São Paulo,Matão,60290,3584,33800734
2023,41151,Laranja,SP,São Paulo,Matão,56922,3947,65764847
2015,41155,Limão,SP,São Paulo,Matão,8205,1016,12691930
2016,41155,Limão,SP,São Paulo,Matão,7319,1025,5657764
2017,41155,Limão,SP,São Paulo,Matão,7262,1113,9150611
2018,41155,Limão,SP,São Paulo,MATÃO,7912,1068,12512891
2019,41155,Limão,SP,São Paulo,Matão,8801,993,8173665
2020,41155,Limão,SP,São Paulo,Matão,7678,1094,12417159
2021,41155,Limão,SP,São Paulo,Matão,7036,1116,6361793
2022,41155,Limão,SP,São Paulo,Matão,8568,1107,5867110
2023,41155,Limão,SP,São Paulo,Matão,,1106,13460015
2015,41176,Tangerina,SP,São Paulo,Matão,5259,331,4870876
2016,41176,Tangerina,SP,São Paulo,Matão,5926,314,10180390
2017,41176,Tangerina,SP,São Paulo,MATÃO,5263,281,5113080
2018,41176,Tangerina,SP,São Paulo,Matão,5029,303,7197164
2019,41176,Tangerina,SP,São Paulo,Matão,-,299,8072141
2020,41176,Tangerina,SP,São Paulo,Matão,5021,336,5276852
2021,41176,Tangerina,SP,São Paulo,Matão,4917,318,4980217
2022,41176,Tangerina,SP,São Paulo,Matão,5743,315,10404531
2023,41176,Tangerina,SP,São Paulo,Matão,5497,300,5703318
2015,41160,Pomelo,SP,São Paulo,Matão,271,101,303982
2016,41160,Pomelo,SP,São Paulo,Matão,270,104,517747
2017,41160,Pomelo,SP,São Paulo,Matão,242,97,197622
2018,41160,Pomelo,SP,São Paulo,Matão,258,91,309795
2019,41160,Pomelo,SP,São Paulo,Matão,,100,450836
2020,41160,Pomelo,SP,São Paulo,Matão,245,100,170867
2021,41160,Pomelo,SP,São Paulo,Matão,273,90,282907
2022,41160,Pomelo,SP,São Paulo,Matão,301,88,214978
2023,41160,Pomelo,SP,São Paulo,Matão,279,93,210713
2015,41151,Laranja,SP,São Paulo,BORBOREMA,101071,3311,57508103
2016,41151,Laranja,SP,São Paulo,Borborema,129996,3224,91538757
2017,41151,Laranja,SP,São Paulo,Borborema,134485,3132,55810364
2018,41151,Laranja,SP,São Paulo,Borborema,117112,3182,48798842
2019,41151,Laranja,SP,São Paulo,Borborema,104218,3685,61973565
2020,41151,Laranja,SP,São Paulo,Borborema,113801,3219,91995206
2021,41151,Laranja,SP,São Paulo,Borborema,132810,3665,78227092
2022,41151,Laranja,SP,São Paulo,Borborema,107701,3636,85653918
2023,41151,Laranja,SP,São Paulo,Borborema,125625,3533,137106810
2015,41155,Limão,SP,São Paulo,BORBOREMA,12159,2926,12579348
2016,41155,Limão,SP,São Paulo,Borborema,15892,3129,23218398
2017,41155,Limão,SP,São Paulo,BORBOREMA,13977,3103,21141224
2018,41155,Limão,SP,São Paulo,Borborema,12378,3155,13378301
2019,41155,Limão,SP,São Paulo,Borborema,13930,2935,11453868
2020,41155,Limão,SP,São Paulo,Borborema,15546,3008,10762131
2021,41155,Limão,SP,São Paulo,Borborema,16087,3140,17160113
2022,41155,Limão,SP,São Paulo,Borborema,13710,2977,26230014
2023,41155,Limão,SP,São Paulo,Borborema,15729,3061,24530637
2015,41176,Tangerina,SP,São Paulo,Borborema,1902,335,1652471
2016,41176,Tangerina,SP,São Paulo,Borborema,2031,334,2715740
2017,41176,Tangerina,SP,São Paulo,Borborema,1797,331,2649922
2018,41176,Tangerina,SP,São Paulo,Borborema,2311,326,3820886
2019,41176,Tangerina,SP,São Paulo,Borborema,2269,299,3516109
2020,41176,Tangerina,SP,São Paulo,Borborema,1952,297,1716933
2021,41176,Tangerina,SP,São Paulo,Borborema,2288,332,3025360
2022,41176,Tangerina,SP,São Paulo,Borborema,2221,292,4163724
2023,41176,Tangerina,SP,São Paulo,Borborema,1923,311,1373498
2015,41160,Pomelo,SP,São Paulo,Borborema,344,130,433934
2016,41160,Pomelo,SP,São Paulo,Borborema,341,113,275980
2017,41160,Pomelo,SP,São Paulo,Borborema,355,113,530559
2018,41160,Pomelo,SP,São Paulo,Borborema,422,,677715
2019,41160,Pomelo,SP,São Paulo,borborema,427,120,471768
2020,41160,Pomelo,SP,São Paulo,BORBOREMA,454,109,518301
2021,41160,Pomelo,SP,São Paulo,Borborema,370,123,275697
2022,41160,Pomelo,SP,São Paulo,Borborema,423,127,659269
2023,41160,Pomelo,SP,São Paulo,Borborema,463,108,408471
2015,41151,Laranja,SP,São Paulo,Itápolis,103793,7226,57385358
2016,41151,Laranja,SP,São Paulo,Itápolis,108001,7413,107422780
2017,41151,Laranja,SP,São Paulo,Itápolis,128410,6904,133664340
2018,41151,Laranja,SP,São Paulo,Itápolis,106284,6300,98709710
2019,41151,Laranja,SP,São Paulo,Itápolis,96053,7387,65512703
2020,41151,Laranja,SP,São Paulo,Itápolis,117888,6689,122706881
2021,41151,Laranja,SP,São Paulo,Itápolis,95776,6282,97960870
2022,41151,Laranja,SP,São Paulo,Itápolis,129310,6701,130663562
2023,41151,Laranja,SP,São Paulo,Itápolis,98661,7202,78853340
2015,41155,Limão,SP,São Paulo,Itápolis,27028,1835,23791388
2016,41155,Limão,SP,São Paulo,Itápolis,27991,1825,55455895
2017,41155,Limão,SP,São Paulo,Itápolis,22593,1738,35703875
2018,41155,Limão,SP,São Paulo,Itápolis,23248,1667,25694971
2019,41155,Limão,SP,São Paulo,Itápolis,21835,1635,35016943
2020,41155,Limão,SP,São Paulo,Itápolis,23912,1526,29941804
2021,41155,Limão,SP,São Paulo,Itápolis,27638,1545,36040209
2022,41155,Limão,SP,São Paulo,Itápolis,29018,1577,55902491
2023,41155,Limão,SP,São Paulo,Itápolis,23560,1710,34402302
2015,41176,Tangerina,SP,São Paulo,Itápolis,-,809,12201724
2016,41176,Tangerina,SP,São Paulo,Itápolis,-,849,7565611
2017,41176,Tangerina,SP,São Paulo,Itápolis,6268,821,7740740
2018,41176,Tangerina,SP,São Paulo,Itápolis,5038,897,5275002
2019,41176,Tangerina,SP,São Paulo,Itápolis,4969,793,3833735
2020,41176,Tangerina,SP,São Paulo,Itápolis,5547,914,10335365
2021,41176,Tangerina,SP,São Paulo,Itápolis,6618,831,12115611
2022,41176,Tangerina,SP,São Paulo,itápolis,5853,761,5817290
2023,41176,Tangerina,SP,São Paulo,ITÁPOLIS,4971,775,4823172
2015,41160,Pomelo,SP,São Paulo,Itápolis,1212,142,1382756
2016,41160,Pomelo,SP,São Paulo,Itápolis,1115,136,1251562
2017,41160,Pomelo,SP,São Paulo,Itápolis,1228,135,803700
2018,41160,Pomelo,SP,São Paulo,Itápolis,1120,161,1171455
2019,41160,Pomelo,SP,São Paulo,Itápolis,1272,,1765655
2020,41160,Pomelo,SP,São Paulo,Itápolis,1189,160,2165096
2021,41160,Pomelo,SP,São Paulo,Itápolis,1301,140,874138
2022,41160,Pomelo,SP,São Paulo,Itápolis,1401,141,1963639
2023,41160,Pomelo,SP,São Paulo,Itápolis,1146,149,1668655
2015,41151,Laranja,SP,São Paulo,Novo Horizonte,133878,5637,93910037
2016,41151,Laranja,SP,São Paulo,Novo Horizonte,128991,5866,134527554
2017,41151,Laranja,SP,São Paulo,Novo Horizonte,131756,6208,133987869
2018,41151,Laranja,SP,São Paulo,Novo Horizonte,131494,5913,82871660
2019,41151,Laranja,SP,São Paulo,Novo Horizonte,125447,5261,54400491
2020,41151,Laranja,SP,São Paulo,Novo Horizonte,104504,6033,64469163
2021,41151,Laranja,SP,São Paulo,Novo Horizonte,98390,6120,57119066
2022,41151,Laranja,SP,São Paulo,Novo Horizonte,101638,6188,120169511
2023,41151,Laranja,SP,São Paulo,Novo Horizonte,-,5421,78419009
2015,41155,Limão,SP,São Paulo,Novo Horizonte,-,1299,11723443
2016,41155,Limão,SP,São Paulo,Novo Horizonte,5883,1104,5987417
2017,41155,Limão,SP,São Paulo,Novo Horizonte,6365,1311,5014855
2018,41155,Limão,SP,São Paulo,Novo Horizonte,6619,1270,4101912
2019,41155,Limão,SP,São Paulo,Novo Horizonte,6600,1193,7911978
2020,41155,Limão,SP,São Paulo,Novo Horizonte,7210,1096,8197799
2021,41155,Limão,SP,São Paulo,Novo Horizonte,5825,1182,5422047
2022,41155,Limão,SP,São Paulo,Novo Horizonte,7111,1282,11138716
2023,41155,Limão,SP,São Paulo,Novo Horizonte,6270,1206,12442019
2015,41176,Tangerina,SP,São Paulo,Novo Horizonte,7999,334,11471687
2016,41176,Tangerina,SP,São Paulo,Novo Horizonte,6442,344,12008167
2017,41176,Tangerina,SP,São Paulo,Novo Horizonte,7804,337,10023138
2018,41176,Tangerina,SP,São Paulo,NOVO HORIZONTE,7525,,11602607
2019,41176,Tangerina,SP,São Paulo,Novo Horizonte,6695,295,7988315
2020,41176,Tangerina,SP,São Paulo,Novo Horizonte,7305,309,6223669
2021,41176,Tangerina,SP,São Paulo,Novo Horizonte,8309,319,15653832
2022,41176,Tangerina,SP,São Paulo,Novo Horizonte,8235,298,16387530
2023,41176,Tangerina,SP,São Paulo,Novo Horizonte,8518,320,13686139
2015,41160,Pomelo,SP,São Paulo,NOVO HORIZONTE,418,110,610653
2016,41160,Pomelo,SP,São Paulo,Novo Horizonte,508,105,782743
2017,41160,Pomelo,SP,São Paulo,Novo Horizonte,534,112,425165
2018,41160,Pomelo,SP,São Paulo,Novo Horizonte,536,113,499372
2019,41160,Pomelo,SP,São Paulo,NOVO HORIZONTE,502,108,817907
2020,41160,Pomelo,SP,São Paulo,Novo Horizonte,468,110,530532
2021,41160,Pomelo,SP,São Paulo,NOVO HORIZONTE,499,101,456825
2022,41160,Pomelo,SP,São Paulo,NOVO HORIZONTE,479,105,642812
2023,41160,Pomelo,SP,São Paulo,novo horizonte,485,104,654696
2015,41151,Laranja,SP,São Paulo,Tabapuã,55262,4620,51789359
2016,41151,Laranja,SP,São Paulo,Tabapuã,45570,4259,45259220
2017,41151,Laranja,SP,São Paulo,Tabapuã,48592,4304,31939133
2018,41151,Laranja,SP,São Paulo,Tabapuã,56540,4510,58929001
2019,41151,Laranja,SP,São Paulo,Tabapuã,-,4871,42555096
2020,41151,Laranja,SP,São Paulo,Tabapuã,45868,4604,27364115
2021,41151,Laranja,SP,São Paulo,Tabapuã,53936,4758,41458618
2022,41151,Laranja,SP,São Paulo,tabapuã,56647,4986,66038478
2023,41151,Laranja,SP,São Paulo,Tabapuã,42212,4211,38183342
2015,41155,Limão,SP,São Paulo,Tabapuã,27646,,37186564
2016,41155,Limão,SP,São Paulo,Tabapuã,26304,2577,31638516
2017,41155,Limão,SP,São Paulo,Tabapuã,27309,2356,29936604
2018,41155,Limão,SP,São Paulo,TABAPUÃ,27971,2379,49209014
2019,41155,Limão,SP,São Paulo,Tabapuã,25475,2418,32261721
2020,41155,Limão,SP,São Paulo,Tabapuã,24843,2715,48776141
2021,41155,Limão,SP,São Paulo,Tabapuã,26856,2365,50860509
2022,41155,Limão,SP,São Paulo,Tabapuã,29280,2238,26059825
2023,41155,Limão,SP,São Paulo,Tabapuã,26832,2512,48008334
2015,41176,Tangerina,SP,São Paulo,Tabapuã,5383,882,5836266
2016,41176,Tangerina,SP,São Paulo,Tabapuã,6432,919,6798156
2017,41176,Tangerina,SP,São Paulo,Tabapuã,5985,788,8500047
2018,41176,Tangerina,SP,São Paulo,Tabapuã,5767,820,9789173
2019,41176,Tangerina,SP,São Paulo,Tabapuã,6126,884,4552377
2020,41176,Tangerina,SP,São Paulo,Tabapuã,5405,850,
2021,41176,Tangerina,SP,São Paulo,Tabapuã,6694,851,13319870
2022,41176,Tangerina,SP,São Paulo,Tabapuã,5768,781,4811033
2023,41176,Tangerina,SP,São Paulo,Tabapuã,6686,840,
2015,41160,Pomelo,SP,São Paulo,Tabapuã,873,214,1530324
2016,41160,Pomelo,SP,São Paulo,Tabapuã,885,203,1024418
2017,41160,Pomelo,SP,São Paulo,Tabapuã,840,208,1428179
2018,41160,Pomelo,SP,São Paulo,Tabapuã,968,197,1566319
2019,41160,Pomelo,SP,São Paulo,Tabapuã,991,230,1528289
2020,41160,Pomelo,SP,São Paulo,Tabapuã,855,215,1228726
2021,41160,Pomelo,SP,São Paulo,Tabapuã,756,238,1196209
2022,41160,Pomelo,SP,São Paulo,Tabapuã,938,203,1367368
2023,41160,Pomelo,SP,São Paulo,Tabapuã,976,200,720336
2015,41151,Laranja,SP,São Paulo,Catanduva,89286,6426,85031508
2016,41151,Laranja,SP,São Paulo,Catanduva,78203,6615,76961181
2017,41151,Laranja,SP,São Paulo,CATANDUVA,78548,,59850257
2018,41151,Laranja,SP,São Paulo,Catanduva,85760,5719,89193839
2019,41151,Laranja,SP,São Paulo,Catanduva,88208,6156,91577954
2020,41151,Laranja,SP,São Paulo,Catanduva,,6141,75574133
2021,41151,Laranja,SP,São Paulo,Catanduva,99171,6249,68689248
2022,41151,Laranja,SP,São Paulo,Catanduva,84889,6065,60613734
2023,41151,Laranja,SP,São Paulo,Catanduva,99204,6723,86519249
2015,41155,Limão,SP,São Paulo,Catanduva,9421,2641,13233946
2016,41155,Limão,SP,São Paulo,Catanduva,8737,2419,8775169
2017,41155,Limão,SP,São Paulo,Catanduva,9727,2433,11064674
2018,41155,Limão,SP,São Paulo,Catanduva,9598,2419,
2019,41155,Limão,SP,São Paulo,Catanduva,10668,2626,17938953
2020,41155,Limão,SP,São Paulo,Catanduva,11336,2613,18812100
2021,41155,Limão,SP,São Paulo,Catanduva,,2461,18729067
2022,41155,Limão,SP,São Paulo,Catanduva,10767,2441,17578830
2023,41155,Limão,SP,São Paulo,Catanduva,10681,2754,18452673
2015,41176,Tangerina,SP,São Paulo,Catanduva,3009,431,3972424
2016,41176,Tangerina,SP,São Paulo,Catanduva,2519,378,3824483
2017,41176,Tangerina,SP,São Paulo,CATANDUVA,3268,387,2611263
2018,41176,Tangerina,SP,São Paulo,Catanduva,3222,417,3750379
2019,41176,Tangerina,SP,São Paulo,Catanduva,3018,425,5390251
2020,41176,Tangerina,SP,São Paulo,Catanduva,3223,387,6302189
2021,41176,Tangerina,SP,São Paulo,Catanduva,2587,423,4407278
2022,41176,Tangerina,SP,São Paulo,Catanduva,2478,430,2034876
2023,41176,Tangerina,SP,São Paulo,Catanduva,3305,380,6028956
2015,41160,Pomelo,SP,São Paulo,Catanduva,1238,137,2001083
2016,41160,Pomelo,SP,São Paulo,Catanduva,1250,,1659027
2017,41160,Pomelo,SP,São Paulo,Catanduva,1540,133,1417609
2018,41160,Pomelo,SP,São Paulo,Catanduva,1394,142,2543068
2019,41160,Pomelo,SP,São Paulo,Catanduva,1291,130,1159676
2020,41160,Pomelo,SP,São Paulo,Catanduva,1636,124,1263679
2021,41160,Pomelo,SP,São Paulo,CATANDUVA,1517,127,2186601
2022,41160,Pomelo,SP,São Paulo,Catanduva,1612,144,1430849
2023,41160,Pomelo,SP,São Paulo,catanduva,1587,127,1809560
2015,41151,Laranja,SP,São Paulo,Mirassol,78033,5995,66695141
2016,41151,Laranja,SP,São Paulo,Mirassol,,5108,45554289
2017,41151,Laranja,SP,São Paulo,Mirassol,86201,5817,40164687
2018,41151,Laranja,SP,São Paulo,Mirassol,80085,5936,66399445
2019,41151,Laranja,SP,São Paulo,Mirassol,,5849,101646493
2020,41151,Laranja,SP,São Paulo,Mirassol,95604,5861,47376983
2021,41151,Laranja,SP,São Paulo,Mirassol,96794,5838,51646409
2022,41151,Laranja,SP,São Paulo,MIRASSOL,75075,5935,46365154
2023,41151,Laranja,SP,São Paulo,Mirassol,87347,5435,69850348
2015,41155,Limão,SP,São Paulo,Mirassol,26543,973,17562257
2016,41155,Limão,SP,São Paulo,Mirassol,33195,1041,45610285
2017,41155,Limão,SP,São Paulo,Mirassol,31199,927,22121398
2018,41155,Limão,SP,São Paulo,Mirassol,33671,1060,23451750
2019,41155,Limão,SP,São Paulo,Mirassol,24456,913,33977440
2020,41155,Limão,SP,São Paulo,Mirassol,31694,912,
2021,41155,Limão,SP,São Paulo,Mirassol,27660,,50564639
2022,41155,Limão,SP,São Paulo,Mirassol,25365,977,23676569
2023,41155,Limão,SP,São Paulo,Mirassol,33101,1049,43946969
2015,41176,Tangerina,SP,São Paulo,Mirassol,1785,688,2489983
2016,41176,Tangerina,SP,São Paulo,Mirassol,1775,782,2892351
2017,41176,Tangerina,SP,São Paulo,Mirassol,1661,700,1378837
2018,41176,Tangerina,SP,São Paulo,mirassol,1516,716,1164104
2019,41176,Tangerina,SP,São Paulo,Mirassol,1793,726,1304762
2020,41176,Tangerina,SP,São Paulo,Mirassol,1874,681,2185363
2021,41176,Tangerina,SP,São Paulo,Mirassol,1427,678,2515117
2022,41176,Tangerina,SP,São Paulo,Mirassol,1692,,1628294
2023,41176,Tangerina,SP,São Paulo,Mirassol,1421,,2502521
2015,41160,Pomelo,SP,São Paulo,Mirassol,1806,246,2162377
2016,41160,Pomelo,SP,São Paulo,Mirassol,1875,257,2824105
2017,41160,Pomelo,SP,São Paulo,MIRASSOL,1761,259,3022011
2018,41160,Pomelo,SP,São Paulo,Mirassol,1739,262,2211239
2019,41160,Pomelo,SP,São Paulo,Mirassol,1530,256,980768
2020,41160,Pomelo,SP,São Paulo,Mirassol,1858,238,1530016
2021,41160,Pomelo,SP,São Paulo,Mirassol,1964,274,2761323
2022,41160,Pomelo,SP,São Paulo,Mirassol,1653,242,2699922
2023,41160,Pomelo,SP,São Paulo,mirassol,1598,274,2830658
2015,41151,Laranja,MG,Minas Gerais,Uberlândia,2977,611,2329178
2016,41151,Laranja,MG,Minas Gerais,Uberlândia,3166,725,1417243
2017,41151,Laranja,MG,Minas Gerais,Uberlândia,2755,618,2654801
2018,41151,Laranja,MG,Minas Gerais,Uberlândia,3100,667,2825379
2019,41151,Laranja,MG,Minas Gerais,Uberlândia,2989,656,2787019
2020,41151,Laranja,MG,Minas Gerais,Uberlândia,2415,703,2072716
2021,41151,Laranja,MG,Minas Gerais,UBERLÂNDIA,3172,691,2891967
2022,41151,Laranja,MG,Minas Gerais,Uberlândia,2739,651,2489612
2023,41151,Laranja,MG,Minas Gerais,UBERLÂNDIA,2424,636,2313807
2015,41155,Limão,MG,Minas Gerais,Uberlândia,1166,284,1504507
2016,41155,Limão,MG,Minas Gerais,Uberlândia,1061,273,878209
2017,41155,Limão,MG,Minas Gerais,Uberlândia,871,246,980433
2018,41155,Limão,MG,Minas Gerais,Uberlândia,1049,263,674916
2019,41155,Limão,MG,Minas Gerais,Uberlândia,915,247,1442108
2020,41155,Limão,MG,Minas Gerais,Uberlândia,863,267,1532512
2021,41155,Limão,MG,Minas Gerais,Uberlândia,1044,248,664015
2022,41155,Limão,MG,Minas Gerais,Uberlândia,978,263,1491896
2023,41155,Limão,MG,Minas Gerais,Uberlândia,994,251,1243574
2015,41176,Tangerina,MG,Minas Gerais,Uberlândia,1158,790,2268507
2016,41176,Tangerina,MG,Minas Gerais,Uberlândia,1234,841,1560706
2017,41176,Tangerina,MG,Minas Gerais,Uberlândia,1220,846,2099169
2018,41176,Tangerina,MG,Minas Gerais,Uberlândia,1412,858,2445365
2019,41176,Tangerina,MG,Minas Gerais,Uberlândia,1270,836,1220521
2020,41176,Tangerina,MG,Minas Gerais,Uberlândia,1151,748,1428874
2021,41176,Tangerina,MG,Minas Gerais,Uberlândia,1186,728,1687805
2022,41176,Tangerina,MG,Minas Gerais,uberlândia,1135,789,1227408
2023,41176,Tangerina,MG,Minas Gerais,Uberlândia,1130,,1640892
2015,41160,Pomelo,MG,Minas Gerais,Uberlândia,1877,316,1179367
